Course Number,Course Name,Course Description
COMR 465,Marketing Management,"Basic considerations affecting the domestic and international marketing of goods and services. (For non-Commerce students only). Not for students with credit for, or exemption from, COMM 296. This course is not eligible for Credit/D/Fail grading.  Corequisite: Either (a) all of ECON 101, ECON 102 or (b) ECON 100 or (c) all of ECON 310, ECON 311 or (d) all of ECON 101, ECON 311 or (e) all of ECON 102, ECON 310. Equivalency: COMM 465."
COMR 473,Business Finance,"Introduction to managerial finance, including the role and functioning of financial markets, procurement of funds and financing strategies, dividend policy, capital budgeting and financial analysis and planning. (For non-Commerce students only). Not for students with credit for, or exemption from, COMM 298. This course is not eligible for Credit/D/Fail grading.  Prerequisite: Either (a) all of ECON 101, ECON 102 or (b) ECON 100 or (c) all of ECON 310, ECON 311 or (d) all of ECON 101, ECON 311 or (e) all of ECON 102, ECON 310;  and one of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184. Corequisite: One of COMM 293, COMM 457, COMR 457. Equivalency: COMM 473."
IGEN 450,Pipeline Engineering,"Pipeline materials and material selection; fracture mechanics; manufacturing and processing; welding and corrosion; soil-pipe interactions; surveying and site investigations; slope stability; natural hazards; pipeline loads and response. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: Either (a) MECH 221 or (b) APSC 278 and one of CIVL 215, MTRL 263 and one of CIVL 230, MECH 260."
IGEN 451,Pipeline Systems and Infrastructure,"Energy infrastructure; pipe flows; equipment and facilities including compressors, pumping stations, coolers, and controls; terminals; pipeline integrity; corrosion control. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: Either (a) MECH 221 or (b) APSC 278 and one of CIVL 215, MTRL 263 and one of CIVL 230, MECH 260."
IGEN 452,Pipeline Design,"Pipeline and pipeline system design reflecting technical, regulatory, environmental, societal, professional, and economic aspects; pipeline design project. This course is not eligible for Credit/D/Fail grading. [2-0-2] Prerequisite: IGEN 450."
MATH 300,Introduction to Complex Variables,"Functions of a complex variable, Cauchy-Riemann equations, elementary functions, Cauchy's theorem and contour integration, Laurent series, poles and residues. Please consult the Faculty of Science Credit Exclusion List: www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414. [3-0-0] Prerequisite: One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 254. Corequisite: One of MATH 217, MATH 227, MATH 254, MATH 317."
MATH 400,Applied Partial Differential Equations,"Separation of variables, first order equations, Sturm-Liouville theory, integral transform methods. [3-0-0] Prerequisite: One of MATH 300, MATH 305 and one of MATH 256, MATH 257, MATH 316, MATH 358, MECH 358, PHYS 312."
MINE 482,Maintenance Engineering,"Analytical foundation for maintenance of industrial plant equipment and mobile equipment in various production environments; maintenance planning and management, life cycle analysis, reliability theory, total quality maintenance, condition monitoring. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: Fourth-year standing."
MTRL 494,Composite Materials,"Understanding the properties and the mechanical behaviour of composite materials with emphasis on analysis, design, and manufacturing. This course is not eligible for Credit/D/Fail grading. [3-0-0]"
MTRL 495,Biomaterials,"Engineered materials in medical applications with an emphasis on material properties, functionality, design, and material response in the biological environment. This course is not eligible for Credit/D/Fail grading. [2-0-2] Prerequisite: APSC 278. Equivalency: MMAT 495."
MTRL 496,Materials Sustainability,"Concepts of life cycle analysis, circular economy and critical materials.  Project-based introduction to key concepts, calculations, and design. This course is not eligible for Credit/D/Fail grading. [2-0-2] Prerequisite: MTRL 250."
PHYS 404,Introduction to Medical Physics,"Radiotherapy, X-ray imaging, nuclear medicine, magnetic resonance imaging and biomedical optics. [3-0-0] Prerequisite: Third year standing in Science or Applied Science is required. MATH 200 (or MATH 217 or MATH 226) is recommended."
PHYS 405,Radiation Biophysics,"Physical and chemical interactions of ionizing radiations and their biological effects at the cellular, tissue and whole-animal levels. Credit will be granted for only one of PHYS 405 or PHYS 536. See the Faculty of Science Credit Exclusion Lists: www.calendar.ubc.ca/vancouver/index.cfm?tree=12,215,410,414. [3-0-0] Prerequisite: One of PHYS 102, PHYS 108, PHYS 118, PHYS 153, PHYS 158, SCIE 001 and third year standing in Science or Applied Science."
PHYS 438,Zoological Physics,"Animal systems viewed from a physicist's perspective. Topics include sensory systems, energy budgets, locomotion, internal flows, physical advantages of grouping. [3-0-0] Prerequisite: One of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 157, SCIE 001. BIOL 325 is recommended. Equivalency: BIOL 438."
APSC 486,New Venture Design,"Teams comprising students in APSC 486 and COMM 486 create a business plan and a prototype or engineering solution of a novel product, process, or process component. This course is not eligible for Credit/D/Fail grading. [1-4-0; 1-4-0]"
