Course Number,Course Name,Course Description
MECH 4403,Power Generation Systems,"Steam generators, solid, liquid, gaseous and biofuels and cycles. Geothermal, solar powerplants. Energy storage. Environmental aspects of power generation. Industrial use and auto-generation of energy. Energy intensity and efficiency of industrial processes and products. Comparative analysis of raw material, energy, or product transport. Life-cycle analysis."
MECH 4406,Heat Transfer,"Mechanisms of heat transfer: fundamentals and solutions. Steady and transient conduction: solution and numerical and electrical analog techniques. Convective heat transfer: free and forced convection for laminar and turbulent flows; heat exchangers. Heat transfer between black and grey surfaces, radiation shields, gas radiation, radiation interchange."
MECH 4407,Heating and Air Conditioning,"Environmental demands for residential, commercial and industrial systems. Methods of altering and controlling environment. Air distribution. Refrigeration methods, equipment and controls. Integrated year-round air-conditioning and heating systems; heat pumps. Cooling load and air-conditioning calculations. Thermal radiation control. Component matching. System analysis and design."
MECH 4408,Thermofluids and Energy Systems Design,"Integration of fluid mechanics, thermodynamics, and heat transfer for design of energy conversion systems. Chemical kinetics and mass transfer. Efficient combustion, fuel cells and batteries. Efficient operation and design of engines, power generators, boilers, furnaces, incinerators, and co-generation systems. Emerging energy systems."
MECH 4501,State Space Modeling and Control,Review of matrices. Geometric structure and dynamics of linear systems. Controllability and observability. Pole placement design of controllers and observers. Design of regulator and servo systems. Transmission zeros. Eigenstructure assignment. Relationship to frequency or classical control techniques. Computer solutions using MATLAB. Applications.
MECH 4503,An Introduction to Robotics,"History of robotics and typical applications. Robotic actuators and sensors. Kinematics of manipulators, inverse kinematics, differential relationships and the Jacobian. Manipulator dynamics. Trajectory generation and path planning. Robot control and performance evaluation. Force control and compliance. Applications in manufacturing and other industries."
MECH 4604,Finite Element Methods,"Finite element methodology with emphasis on applications to stress analysis, heat transfer and fluid flow using the simplest one- and two-dimensional elements. Direct equilibrium, variational and Galerkin formulations. Computer programs and practical applications. Higher order elements."
MECH 4704,Integrated Manufacturing - CIMS,"Overview of the topics essential to CIMS including integration of design and assembly techniques, numerical analysis, statistical process control and related production technologies within the manufacturing enterprise."
MECH 4705,CAD/CAM,"Introduction to contemporary computer aided design and manufacturing (CAD/CAM) Topics covered include mathematical representation, solid modeling, drafting, mechanical assembly mechanism design, (CNC) machining. Current issues such as CAD data exchange standards, rapid prototyping, concurrent engineering, and design for X (DFX) are also discussed."
MECH 4805,Measurement and Data Systems,"Experimental data, accuracy and uncertainty analysis. Analog systems. Sensors. Signal conditioning. Op-Amps, instrumentation amplifiers, charge amplifiers, filters. Digital techniques. Encoders, A/D D/A converters. Data acquisition using microcomputers. Hardware and software considerations. Interfacing. Applications to measurement of motion, strain, force/torque, pressure, fluid flow, temperature."
MECH 4806,Mechatronics,"Introduction to the integration of mechanical, electronic and software components to build mechatronic devices. Mechanical and electrical systems modeling, simulation and implementation. Basic automation and computer requirements. Design tools and examples of mechatronic applications."
